data_referencia,previsao,intervalo_inferior,intervalo_superior,serie,modelo
2026-01-01,5.12,4.9199159636540495,5.320084036345951,inadimplencia_pf_total,sarimax_110
2026-02-01,5.12,4.804252014490734,5.435747985509266,inadimplencia_pf_total,sarimax_110
2026-03-01,5.12,4.714759367519524,5.525240632480476,inadimplencia_pf_total,sarimax_110
2026-04-01,5.12,4.640581778815281,5.599418221184719,inadimplencia_pf_total,sarimax_110
2026-05-01,5.12,4.57621004205606,5.663789957943941,inadimplencia_pf_total,sarimax_110
2026-06-01,5.12,4.518645610941265,5.721354389058735,inadimplencia_pf_total,sarimax_110
2026-07-01,5.12,4.466120357709972,5.773879642290028,inadimplencia_pf_total,sarimax_110
2026-08-01,5.12,4.417509644160171,5.822490355839829,inadimplencia_pf_total,sarimax_110
2026-09-01,5.12,4.372051209136048,5.867948790863952,inadimplencia_pf_total,sarimax_110
2026-10-01,5.12,4.329201532893917,5.910798467106083,inadimplencia_pf_total,sarimax_110
2026-11-01,5.12,4.2885572384785675,5.951442761521433,inadimplencia_pf_total,sarimax_110
2026-12-01,5.12,4.249809261115234,5.990190738884766,inadimplencia_pf_total,sarimax_110
2027-01-01,5.12,4.212714609522365,6.027285390477635,inadimplencia_pf_total,sarimax_110
2027-02-01,5.12,4.177078138013576,6.062921861986424,inadimplencia_pf_total,sarimax_110
2027-03-01,5.12,4.142740312958243,6.097259687041757,inadimplencia_pf_total,sarimax_110
2027-04-01,5.12,4.109568728692148,6.130431271307852,inadimplencia_pf_total,sarimax_110
2027-05-01,5.12,4.0774520576204045,6.162547942379596,inadimplencia_pf_total,sarimax_110
2027-06-01,5.12,4.0462956318037175,6.193704368196283,inadimplencia_pf_total,sarimax_110
2027-07-01,5.12,4.016018148515209,6.223981851484791,inadimplencia_pf_total,sarimax_110
2027-08-01,5.12,3.986549168895346,6.253450831104654,inadimplencia_pf_total,sarimax_110
2027-09-01,5.12,3.957827188127392,6.282172811872608,inadimplencia_pf_total,sarimax_110
2027-10-01,5.12,3.929798125198948,6.310201874801052,inadimplencia_pf_total,sarimax_110
2027-11-01,5.12,3.902414125860523,6.337585874139477,inadimplencia_pf_total,sarimax_110
2027-12-01,5.12,3.875632602874839,6.364367397125161,inadimplencia_pf_total,sarimax_110
2026-01-01,64.34105535347028,61.25654130178685,67.42556940515372,inadimplencia_cartao_rotativo,sarimax_111
2026-02-01,64.37510890614938,60.18254979771295,68.5676680145858,inadimplencia_cartao_rotativo,sarimax_111
2026-03-01,64.36732316508996,59.2720291370816,69.46261719309831,inadimplencia_cartao_rotativo,sarimax_111
2026-04-01,64.36910323674402,58.51483012749192,70.22337634599613,inadimplencia_cartao_rotativo,sarimax_111
2026-05-01,64.36869625492054,57.84183708255992,70.89555542728115,inadimplencia_cartao_rotativo,sarimax_111
2026-06-01,64.3687893040988,57.232725557484166,71.50485305071344,inadimplencia_cartao_rotativo,sarimax_111
2026-07-01,64.36876803005393,56.671508530292684,72.06602752981517,inadimplencia_cartao_rotativo,sarimax_111
2026-08-01,64.3687728939871,56.1485539211949,72.5889918667793,inadimplencia_cartao_rotativo,sarimax_111
2026-09-01,64.36877178193501,55.656926841543054,73.08061672232697,inadimplencia_cartao_rotativo,sarimax_111
2026-10-01,64.368772036186,55.19160068447629,73.5459433878957,inadimplencia_cartao_rotativo,sarimax_111
2026-11-01,64.36877197805602,54.74875596017543,73.9887879959366,inadimplencia_cartao_rotativo,sarimax_111
2026-12-01,64.3687719913464,54.325418876058784,74.41212510663402,inadimplencia_cartao_rotativo,sarimax_111
2027-01-01,64.3687719883078,53.91921814431329,74.8183258323023,inadimplencia_cartao_rotativo,sarimax_111
2027-02-01,64.36877198900252,53.52822729558921,75.20931668241585,inadimplencia_cartao_rotativo,sarimax_111
2027-03-01,64.36877198884369,53.150855829064525,75.58668814862286,inadimplencia_cartao_rotativo,sarimax_111
2027-04-01,64.36877198888,52.78577252050953,75.95177145725047,inadimplencia_cartao_rotativo,sarimax_111
2027-05-01,64.3687719888717,52.43184983946271,76.3056941382807,inadimplencia_cartao_rotativo,sarimax_111
2027-06-01,64.3687719888736,52.088122815570394,76.64942116217681,inadimplencia_cartao_rotativo,sarimax_111
2027-07-01,64.36877198887316,51.75375800416143,76.9837859735849,inadimplencia_cartao_rotativo,sarimax_111
2027-08-01,64.36877198887326,51.42802967820236,77.30951429954416,inadimplencia_cartao_rotativo,sarimax_111
2027-09-01,64.36877198887323,51.11030129018763,77.62724268755883,inadimplencia_cartao_rotativo,sarimax_111
2027-10-01,64.36877198887323,50.80001084481071,77.93753313293577,inadimplencia_cartao_rotativo,sarimax_111
2027-11-01,64.36877198887323,50.496659218954676,78.2408847587918,inadimplencia_cartao_rotativo,sarimax_111
2027-12-01,64.36877198887323,50.199800734118924,78.53774324362755,inadimplencia_cartao_rotativo,sarimax_111
2026-01-01,28.185503593019053,27.667214013983536,28.70379317205457,comprometimento_renda_pf,sarimax_111
2026-02-01,28.231847047833746,27.306945294200887,29.156748801466605,comprometimento_renda_pf,sarimax_111
2026-03-01,28.2543353724744,26.973356681601476,29.535314063347325,comprometimento_renda_pf,sarimax_111
2026-04-01,28.265247911195686,26.673651484954625,29.856844337436748,comprometimento_renda_pf,sarimax_111
2026-05-01,28.27054325903713,26.405138586276184,30.135947931798075,comprometimento_renda_pf,sarimax_111
2026-06-01,28.273112845224,26.162850201939516,30.38337548850848,comprometimento_renda_pf,sarimax_111
2026-07-01,28.274359745969605,25.942004602137,30.60671488980221,comprometimento_renda_pf,sarimax_111
2026-08-01,28.274964808947193,25.7386310101707,30.811298607723685,comprometimento_renda_pf,sarimax_111
2026-09-01,28.27525841788771,25.54959727794982,31.000919557825597,comprometimento_renda_pf,sarimax_111
2026-10-01,28.275400892659995,25.372473196116996,31.178328589202994,comprometimento_renda_pf,sarimax_111
2026-11-01,28.275470029044953,25.205374218448174,31.345565839641733,comprometimento_renda_pf,sarimax_111
2026-12-01,28.275503577719206,25.046828024839154,31.50417913059926,comprometimento_renda_pf,sarimax_111
2027-01-01,28.275519857331524,24.895671142566915,31.655368572096133,comprometimento_renda_pf,sarimax_111
2027-02-01,28.275527757070726,24.750972002318917,31.800083511822535,comprometimento_renda_pf,sarimax_111
2027-03-01,28.27553159044699,24.611974552444998,31.939088628448985,comprometimento_renda_pf,sarimax_111
2027-04-01,28.275533450606325,24.478057057851057,32.07300984336159,comprometimento_renda_pf,sarimax_111
2027-05-01,28.275534353255193,24.348701865928167,32.202366840582215,comprometimento_renda_pf,sarimax_111
2027-06-01,28.275534791268733,24.223473032749684,32.32759654978778,comprometimento_renda_pf,sarimax_111
2027-07-01,28.275535003816344,24.101999586713134,32.449070420919554,comprometimento_renda_pf,sarimax_111
2027-08-01,28.27553510695582,23.983962858572028,32.567107355339616,comprometimento_renda_pf,sarimax_111
2027-09-01,28.275535157004615,23.869086770459475,32.681983543549755,comprometimento_renda_pf,sarimax_111
2027-10-01,28.27553518129097,23.75713030091125,32.79394006167069,comprometimento_renda_pf,sarimax_111
2027-11-01,28.27553519307601,23.647881568532902,32.90318881761912,comprometimento_renda_pf,sarimax_111
2027-12-01,28.275535198794742,23.54115313398685,33.00991726360263,comprometimento_renda_pf,sarimax_111
2026-01-01,49.747958202629505,49.318472721055834,50.177443684203176,endividamento_familias_sfn,sarimax_110
2026-02-01,49.780815191170845,48.93924061949804,50.62238976284365,endividamento_familias_sfn,sarimax_110
2026-03-01,49.80332607850217,48.55253472714861,51.05411742985572,endividamento_familias_sfn,sarimax_110
2026-04-01,49.818748674148935,48.17698414952566,51.46051319877221,endividamento_familias_sfn,sarimax_110
2026-05-01,49.82931495938607,47.820207179685234,51.8384227390869,endividamento_familias_sfn,sarimax_110
2026-06-01,49.83655410293035,47.484534900236106,52.188573305624594,endividamento_familias_sfn,sarimax_110
2026-07-01,49.841513764540714,47.16979532816298,52.51323220091845,endividamento_familias_sfn,sarimax_110
2026-08-01,49.84491171391675,46.874689618324055,52.81513380950945,endividamento_familias_sfn,sarimax_110
2026-09-01,49.8472397074109,46.59748510987218,53.09699430494962,endividamento_familias_sfn,sarimax_110
2026-10-01,49.84883465574857,46.3363622184511,53.36130709304604,endividamento_familias_sfn,sarimax_110
2026-11-01,49.84992738225585,46.089581305382204,53.610273459129495,endividamento_familias_sfn,sarimax_110
2026-12-01,49.85067602795898,45.85555511295047,53.845796942967496,endividamento_familias_sfn,sarimax_110
2027-01-01,49.8511889379919,45.632872108559994,54.069505767423806,endividamento_familias_sfn,sarimax_110
2027-02-01,49.85154034146722,45.4202951164307,54.28278556650374,endividamento_familias_sfn,sarimax_110
2027-03-01,49.85178109402526,45.216748385368085,54.48681380268244,endividamento_familias_sfn,sarimax_110
2027-04-01,49.8519460377389,45.021300118529496,54.6825919569483,endividamento_familias_sfn,sarimax_110
2027-05-01,49.852059043510835,44.833144122916956,54.870973964104714,endividamento_familias_sfn,sarimax_110
2027-06-01,49.85213646570662,44.65158238188957,55.052690549523675,endividamento_familias_sfn,sarimax_110
2027-07-01,49.852189508983066,44.47600934161754,55.22836967634859,endividamento_familias_sfn,sarimax_110
2027-08-01,49.85222584984304,44.30589816131423,55.39855353837184,endividamento_familias_sfn,sarimax_110
